TIMES,VPU,CPU,THERMOCOUPLE
0.6955678462982178,37.29718780517578,59.4,32.5
2.0085463523864746,41.257938385009766,58.9,32.25
3.013965368270874,42.237586975097656,58.4,32.5
5.348609447479248,43.327911376953125,58.9,32.25
7.214962005615234,43.384620666503906,59.4,32.25
9.299973726272583,43.55617904663086,59.9,32.5
11.517656564712524,43.89787673950195,59.4,32.25
12.845106601715088,43.670257568359375,59.9,32.0
14.38566517829895,44.297706604003906,59.9,32.5
16.361525535583496,44.29717254638672,59.4,32.5
18.437788248062134,44.0135498046875,57.9,32.25
20.331469297409058,44.979515075683594,60.3,32.75
22.139444828033447,45.09341049194336,59.4,32.75
23.175422430038452,44.58186721801758,59.4,32.25
24.52962303161621,44.92238235473633,60.8,32.5
26.09473466873169,44.75259780883789,57.9,31.75
28.542936086654663,45.37704086303711,59.9,32.25
30.20088267326355,45.82899856567383,59.4,32.75
31.29752469062805,45.206546783447266,58.9,32.5
32.33647561073303,44.97886657714844,59.9,32.5
34.222760915756226,45.43340301513672,59.9,32.5
36.813697814941406,45.88641357421875,60.8,32.75
38.0654182434082,46.451507568359375,59.9,32.75
39.07743763923645,46.056148529052734,59.4,32.0
41.07634997367859,45.715919494628906,59.9,32.75
42.08576464653015,46.39403533935547,58.9,32.75
44.509520292282104,46.56359100341797,59.4,32.5
46.07733345031738,46.507110595703125,59.9,32.5
47.07845997810364,46.50798797607422,59.9,33.0
48.07960820198059,46.112449645996094,59.9,32.75
49.085981130599976,46.39414978027344,59.9,33.0
50.089133501052856,46.22453308105469,59.4,33.25
52.08767008781433,46.564815521240234,58.9,33.0
53.09025812149048,46.450103759765625,60.3,32.75
54.090943574905396,46.45197296142578,59.4,32.5
56.0875084400177,46.95842361450195,60.3,33.25
57.08915328979492,46.45075225830078,60.3,33.0
58.08987760543823,47.0710334777832,60.8,33.0
59.09219145774841,47.069862365722656,59.9,33.0
60.09728980064392,46.84587097167969,60.8,33.25
61.09828162193298,47.070159912109375,60.3,33.5
62.099297761917114,47.07115173339844,60.8,33.5
63.10166645050049,47.01461410522461,60.8,33.5
64.11383652687073,46.62024688720703,59.9,33.0
65.11437344551086,46.676727294921875,60.3,33.5
66.11448454856873,47.18195343017578,59.4,33.25
68.11107921600342,47.01403045654297,59.9,33.5
69.11498808860779,47.40717315673828,59.9,33.5
71.11435008049011,47.349937438964844,60.8,33.25
72.12314081192017,47.63128662109375,60.3,33.5
73.1246268749237,47.29595947265625,60.3,33.25
74.12560725212097,47.631813049316406,60.3,33.75
75.12663412094116,47.23889923095703,59.9,33.5
76.13298416137695,47.91193389892578,60.3,33.25
77.13373446464539,47.687705993652344,60.8,33.75
79.128732919693,47.070858001708984,60.8,33.25
80.13314294815063,47.350868225097656,59.9,33.75
82.13532757759094,47.85563659667969,59.9,33.5
83.135418176651,47.01414489746094,59.9,33.75
84.14164233207703,47.967369079589844,59.9,34.0
85.14259004592896,47.80072021484375,59.9,33.5
86.14366292953491,47.74337387084961,60.8,34.0
87.144850730896,47.79915237426758,60.3,33.75
88.1456208229065,47.51919937133789,59.9,34.0
89.14673066139221,48.07933807373047,59.9,33.75
90.14815616607666,47.687705993652344,59.4,34.0
92.14516091346741,47.79950714111328,59.9,33.5
93.14658498764038,48.58393096923828,59.9,33.5
94.14776992797852,47.688926696777344,60.3,33.75
95.1490228176117,48.024314880371094,60.3,33.75
96.15473890304565,48.416175842285156,60.8,34.0
97.15785646438599,48.024776458740234,60.3,34.25
99.15651869773865,48.19090270996094,60.3,34.0
100.16074991226196,48.359642028808594,59.9,34.0
101.16152667999268,48.36033630371094,59.9,34.25
103.15634250640869,48.192588806152344,60.8,33.75
104.15886449813843,48.3598747253418,60.3,34.25
105.16327500343323,48.4167594909668,59.9,34.0
106.1701397895813,48.416412353515625,59.9,33.5
107.1778838634491,48.47248077392578,59.9,34.5
108.18521165847778,48.415016174316406,60.3,34.75
109.18770432472229,48.749595642089844,60.3,34.0
111.18422746658325,48.30467224121094,59.4,34.5
112.19476079940796,48.638668060302734,59.9,34.0
113.19772720336914,48.583465576171875,60.8,34.75
115.19475436210632,48.750640869140625,60.3,34.0
116.19677186012268,48.69416046142578,60.3,34.25
118.19568586349487,49.029258728027344,60.8,34.75
119.20394849777222,48.52814865112305,60.3,34.75
121.20339822769165,48.86162567138672,60.3,34.5
122.21235609054565,48.973304748535156,60.8,35.0
124.21320676803589,48.91798400878906,60.8,34.75
126.63721442222595,48.75156784057617,62.3,35.0
128.20922565460205,49.30782699584961,61.3,34.25
129.21204233169556,49.36412811279297,60.8,35.25
130.21433854103088,48.807003021240234,60.8,35.25
131.2196605205536,49.3081169128418,60.3,34.75
132.23482632637024,49.531646728515625,61.3,34.75
133.23519086837769,49.36274337768555,60.3,34.75
135.23481678962708,49.14192199707031,60.3,35.25
136.2439866065979,49.08573913574219,61.3,34.75
138.23821234703064,49.1968994140625,60.8,35.25
139.241872549057,49.36383819580078,61.3,35.0
140.24681067466736,49.363895416259766,61.3,35.0
142.24440264701843,49.974098205566406,61.3,34.75
143.25979614257812,49.697723388671875,60.3,35.0
144.26147270202637,49.19614791870117,59.9,34.75
146.25824546813965,49.69749450683594,60.3,35.25
147.2595841884613,49.69691467285156,61.3,35.5
148.2603223323822,50.08646774291992,60.3,35.0
150.25606513023376,49.530433654785156,60.3,35.5
151.2581489086151,49.75286865234375,61.3,35.5
152.25984239578247,49.75240707397461,61.3,35.5
153.26160597801208,49.141231536865234,61.3,35.5
154.26798677444458,49.64136505126953,60.8,35.25
155.26836252212524,49.80888366699219,61.3,35.75
156.26945781707764,49.975364685058594,60.8,35.75
157.2709321975708,49.808998107910156,59.9,35.5
158.27233362197876,49.75281524658203,60.3,35.0
159.2734670639038,49.864723205566406,59.9,35.5
160.27558064460754,49.919471740722656,60.8,35.75
162.27100038528442,49.696685791015625,61.3,35.25
163.2724039554596,49.6412467956543,61.3,35.25
164.27398490905762,50.029937744140625,61.8,35.75
165.27461409568787,48.97388458251953,61.8,35.5
166.29323554039001,50.08595275878906,61.8,36.0
